ICAO_Code	Wingspan	Length	Tail	Width															
A10	17.5	16.2	4.5	5.6															
A124	73.3	68.9	20.8	10.1															
A19N	35.8	33.8	12.1	9.0															
A20N	35.8	37.6	12.1	9.0															
A21N	35.8	44.5	12.1	9.0															
A225    88.5    84.0    18.1    10.1
A306	44.8	54.1	16.7	11.0															
A30B	44.8	53.5	16.7	11.0															
A310	43.9	46.7	15.9	11.0															
A318	34.1	31.5	12.9	9.0															
A319	35.8	33.8	12.1	9.0															
A320	35.8	37.6	12.1	9.0															
A321	35.8	44.5	12.1	9.0															
A332	60.3	59.0	18.2	12.6															
A333	60.3	63.7	13.9	12.6															
A337	60.3	63.1	18.9	12.6															
A338	64.0	58.8	17.4	12.6															
A339	64.0	63.7	16.8	12.6															
A342	60.3	59.4	17.0	12.6															
A343	60.3	63.7	17.0	12.6															
A345	63.5	67.9	17.5	12.6															
A346	63.5	75.3	17.9	12.6															
A359	64.7	66.6	17.5	12.9															
A35K	64.7	73.6	17.4	12.8															
A388	79.8	72.7	24.1	14.3															
A400	42.4	45.1	14.6	7.9															
A5	10.6	7.0	2.5	1.6															
AA1	7.4	5.9	2.0	2.0															 
AA5	9.6	6.7	2.4	2.7															
AC11	10.0	7.6	2.6	3.6															
AC50	14.9	11.2	4.4	3.9															
AC56	14.9	11.2	4.4	3.9															
AC68	15.1	10.7	4.4	3.9															
AC6L	13.4	13.1	4.6	4.7															
AC80	14.2	12.6	4.4	3.9															
AC90	15.9	13.5	4.6	4.7															
AC95	15.9	13.1	4.6	4.7															
AEST	11.2	10.6	3.9	3.1															
AN12	38.0	34.0	10.5	4.8															
AN72	31.9	28.1	8.7	4.1															
AR11	11.0	6.3	2.1	2.1															
ASTR	16.1	16.9	5.5	3.7															
AT3T	15.6	9.3	2.9	2.9															
AT43	24.6	22.7	7.6	4.6															
AT44	24.6	22.7	7.6	4.6															
AT45	24.6	22.7	7.6	4.6															
AT46	24.6	22.7	7.6	4.8															
AT5T	15.8	8.2	3.1	3.4															
AT6T	17.1	10.2	3.4	3.4															
AT72	27.1	27.2	7.7	5.2															
AT73	27.0	27.2	7.7	4.8															
AT75	24.6	27.2	7.7	5.2															
AT76	27.0	27.2	7.7	4.1															
AT8T	18.1	11.4	3.4	3.4															
B18T	14.0	13.5	2.9	5.9															
B190	17.7	17.6	4.7	5.9															
B2	52.4	21.0	5.2	14.4															
B350	17.6	14.2	4.4	5.2															
B36T	10.2	8.9	2.6	3.0															
B37M	35.9	35.6	12.5	7.0															
B38M	35.9	39.5	12.3	5.7															
B39M	35.9	42.2	12.4	7.0															
B461	26.3	26.2	8.6	5.5															
B462	26.3	28.6	8.6	5.5															
B463	26.3	31.0	8.6	5.8															
B52	56.4	49.0	12.4	5.0															
B703	44.4	46.6	12.8	7.6															
B712	28.4	37.8	9.1	5.9															
B721	32.9	40.6	10.5	6.6															
B722	33.3	46.7	10.6	6.6															
B732	28.3	30.5	11.2	6.4															
B733	31.2	33.4	11.1	6.4															
B734	28.9	36.5	11.1	6.4															
B735	28.9	31.0	11.1	6.4															
B736	35.8	31.2	12.7	7.0															
B737	35.8	33.6	12.7	7.0															
B738	35.8	39.5	12.6	7.0															
B739	35.8	42.1	12.6	7.0															
B741	59.6	70.7	19.6	12.4															
B742	59.6	70.7	19.7	12.4															
B743	59.6	70.7	19.6	12.4															
B744	59.6	70.7	19.6	12.4															
B748	68.4	76.3	19.6	12.7															
B752	41.1	47.3	13.7	8.5															
B753	41.1	54.4	13.7	8.5															
B762	47.6	48.5	16.1	10.9															
B763	50.9	55.0	16.0	10.9															
B764	51.9	61.4	17.0	11.0															
B772	60.9	63.7	18.7	12.9															
B773	60.9	63.7	18.7	12.9															
B778	71.7	69.8	19.5	12.8															
B779	71.7	76.7	19.7	12.8															
B77L	64.6	63.7	18.7	14.1															
B77W	64.8	73.9	18.8	12.9															
B788	60.1	56.7	17.1	11.6															
B789	60.1	62.8	17.1	11.9															
B78X	60.1	68.3	17.0	11.9															
BA11	27.0	28.5	7.5	5.7															
BCS1	35.1	35.0	11.8	8.0															
BCS3	35.1	38.7	11.8	8.0															
BE10	14.0	12.2	4.7	4.2															
BE18	15.1	10.8	2.8	5.9															
BE19	10.0	7.8	2.5	3.7															
BE20	16.6	13.4	4.6	5.2															
BE23	10.0	7.8	2.5	3.6															
BE24	10.0	7.8	2.5	4.1															
BE30	17.6	14.2	4.4	5.2															
BE33	10.2	8.1	2.5	2.9															
BE35	10.8	7.7	2.3	2.9															
BE36	10.2	8.4	2.6	2.9															
BE40	13.3	14.8	4.2	2.8															
BE50	13.8	9.6	3.4	4.3															
BE55	11.5	8.5	2.9	2.9															
BE58	11.5	9.1	3.0	2.9															
BE60	12.0	10.3	3.7	3.7															
BE65	14.0	10.8	4.4	4.2															
BE70	15.3	10.8	4.4	4.2															
BE76	11.6	8.8	2.9	3.4															
BE77	9.1	7.3	2.4	2.7															
BE80	15.3	10.8	4.4	4.3															
BE95	11.5	7.9	2.9	3.4															
BE99	14.0	13.6	4.4	4.5															
BE9L	15.3	10.8	4.4	3.9															
BE9T	16.6	10.8	4.5	5.0															
BL17	10.4	8.0	2.2	2.7															
BL8	11.0	7.0	2.6	2.1															
BLCF	64.9	71.7	21.5	8.4															
BT36	11.5	8.4	2.6	3.9															
C120	10.1	6.6	1.9	2.2															
C130	40.4	29.8	11.8	4.9															
C140	10.1	6.6	1.9	2.1															
C150	10.1	7.3	2.6	2.2															
C152	10.1	7.3	2.6	2.6															
C160	40.0	32.4	11.7	6.6															
C162	9.1	6.9	2.6	2.5															
C17	51.8	53.0	16.8	10.3															
C170	11.0	7.6	2.0	3.0															
C172	11.0	8.3	2.7	2.6															
C175	11.0	7.6	2.6	3.0															
C177	10.8	8.3	2.6	2.7															
C180	10.9	7.8	2.4	2.5															
C182	11.0	8.8	2.8	2.7															
C185	10.9	7.8	2.4	3.2															
C188	12.7	8.0	2.3	2.6															
C195	11.0	8.3	2.2	2.6															
C206	11.0	8.6	2.8	2.5															
C207	11.0	9.6	3.0	3.1															
C208	15.9	11.5	4.6	3.6															
C210	11.2	8.6	3.0	2.7															
C212	19.0	16.2	6.3	3.4															
C240	11.0	7.7	2.7	2.5															
C25A	15.2	14.5	4.3	4.8															
C25B	16.2	15.6	4.6	4.9															
C25C	15.5	16.2	4.7	3.7															
C25M	14.4	13.0	4.2	4.0															
C303	11.9	9.3	4.1	4.8															
C30J	40.4	34.4	11.8	4.8															
C310	11.2	9.8	3.2	3.6															
C320	11.2	9.8	3.2	3.9															
C335	11.6	10.5	3.8	4.2															
C340	11.6	13.2	3.8	3.9															
C402	13.5	11.1	3.5	4.5															
C404	14.1	12.0	4.1	5.3															
C414	13.5	11.1	3.5	5.3															
C421	13.5	11.1	3.5	5.3															
C425	13.5	10.9	3.8	6.0															
C441	15.0	11.9	4.0	4.3															
C500	14.4	13.3	4.4	3.9															
C501	14.4	13.3	4.4	3.9															
C510	13.2	12.4	4.1	3.6															
C525	14.3	13.0	4.2	4.0															
C526	14.3	13.0	4.2	4.0															
C550	15.8	14.4	4.6	5.4															
C551	15.8	14.5	4.6	4.1															
C55B	15.9	14.5	4.6	4.1															
C560	16.5	14.9	4.6	5.4															
C56X	17.2	15.8	5.2	4.5															
C650	16.3	16.9	5.1	2.9															
C680	19.2	19.4	6.2	3.0															
